type,subnet,specifics,source,Destinations,Environments,Sources,Status
PolicyType.Reachability,100.0.32.0/24,0,madrid,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},madrid,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,bratislava,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},bratislava,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,istanbul,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},istanbul,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,geneva,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},geneva,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,basel,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},basel,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,praha,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},praha,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,frankfurt,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},frankfurt,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,barcelona,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},barcelona,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,luxembourg,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},luxembourg,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,bucharest,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},bucharest,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,vaduz,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},vaduz,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.32.0/24,0,kiev,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},kiev,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,strasbourg,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},strasbourg,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,rotterdam,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},rotterdam,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,zagreb,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},zagreb,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.32.0/24,0,dublin,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},dublin,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.32.0/24,0,ljubljana,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},ljubljana,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.32.0/24,0,roma,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},roma,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,brussels,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},brussels,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,milan,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},milan,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,budapest,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},budapest,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,london,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},london,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,marseille,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},marseille,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,vienna,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},vienna,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,amsterdam,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},amsterdam,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,lisbon,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},lisbon,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.32.0/24,0,zurich,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},zurich,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,athens,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},athens,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,sofia,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},sofia,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,lyon,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},lyon,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,stockholm,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},stockholm,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.32.0/24,0,paris,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e9f0a10>},{9},paris,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,madrid,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},madrid,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,bratislava,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},bratislava,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,istanbul,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},istanbul,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,geneva,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},geneva,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,basel,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},basel,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,praha,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},praha,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,frankfurt,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},frankfurt,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,barcelona,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},barcelona,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,luxembourg,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},luxembourg,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,bucharest,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},bucharest,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,vaduz,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},vaduz,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.31.0/24,0,kiev,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},kiev,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,warsaw,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},warsaw,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,strasbourg,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},strasbourg,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,rotterdam,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},rotterdam,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,zagreb,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},zagreb,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.31.0/24,0,dublin,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},dublin,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.31.0/24,0,ljubljana,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},ljubljana,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.31.0/24,0,roma,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},roma,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,brussels,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},brussels,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,milan,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},milan,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,budapest,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},budapest,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,london,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},london,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,marseille,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},marseille,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,vienna,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},vienna,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,lisbon,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},lisbon,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.31.0/24,0,zurich,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},zurich,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,athens,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},athens,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,sofia,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},sofia,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,lyon,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},lyon,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,stockholm,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},stockholm,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.31.0/24,0,paris,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e64f690>},{9},paris,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.30.0/24,0,madrid,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},madrid,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,bratislava,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},bratislava,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,istanbul,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},istanbul,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,geneva,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},geneva,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,basel,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},basel,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,praha,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},praha,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,frankfurt,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},frankfurt,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,barcelona,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},barcelona,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,luxembourg,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},luxembourg,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,bucharest,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},bucharest,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,vaduz,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},vaduz,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,kiev,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},kiev,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,rotterdam,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},rotterdam,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,warsaw,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},warsaw,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,strasbourg,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},strasbourg,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,zagreb,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},zagreb,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,dublin,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},dublin,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,ljubljana,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},ljubljana,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,roma,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},roma,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,brussels,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},brussels,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,milan,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},milan,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,budapest,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},budapest,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,london,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},london,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,vienna,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},vienna,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,marseille,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},marseille,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,amsterdam,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},amsterdam,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,zurich,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},zurich,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,athens,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},athens,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,sofia,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},sofia,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,lyon,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},lyon,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,stockholm,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},stockholm,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,paris,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b77d0>},{9},paris,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.29.0/24,0,madrid,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},madrid,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,bratislava,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},bratislava,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,istanbul,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},istanbul,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,geneva,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},geneva,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,basel,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},basel,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,praha,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},praha,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,frankfurt,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},frankfurt,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,barcelona,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},barcelona,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,luxembourg,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},luxembourg,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,bucharest,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},bucharest,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,vaduz,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},vaduz,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.29.0/24,0,kiev,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},kiev,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,rotterdam,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},rotterdam,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,warsaw,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},warsaw,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,strasbourg,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},strasbourg,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,zagreb,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},zagreb,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.29.0/24,0,dublin,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},dublin,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.29.0/24,0,ljubljana,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},ljubljana,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.29.0/24,0,roma,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},roma,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,brussels,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},brussels,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,milan,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},milan,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,budapest,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},budapest,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,vienna,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},vienna,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,marseille,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},marseille,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,amsterdam,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},amsterdam,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,lisbon,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},lisbon,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.29.0/24,0,zurich,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},zurich,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,athens,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},athens,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,sofia,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},sofia,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,lyon,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},lyon,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,stockholm,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},stockholm,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.29.0/24,0,paris,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6b75d0>},{9},paris,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,madrid,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},madrid,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,bratislava,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},bratislava,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,istanbul,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},istanbul,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,geneva,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},geneva,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,basel,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},basel,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,frankfurt,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},frankfurt,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,barcelona,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},barcelona,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,luxembourg,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},luxembourg,PolicyStatus.HOLDS
